,Auxiliary Boilers Feed Water Header Pressure,Heat Recovery System Header Mass Flow,Heat Recovery System Header Mass Flow.1,Heat Recovery System Header Pressure,Lube Oil Tank Temperature,Motor Current Phase A,Motor Input Power,Motor Power Factor,Motor Voltage,Pump Discharge Pressure,Pump Discharge Volumetric Flow,Pump Journal 2 Bearing Temperature,Pump Radial Bearing Vibration,Pump Shaft Speed,Pump Suction Pressure 1,Pump Suction Strainer Differential Pressure,Pump Suction Temperature,Pump Thrust Bearing Temperature 1
12,1299.922089089236,329493.4747534375,78054.79993404826,1795.9259188142362,78.50755569539062,143.28060818239584,0.0,0.0,4240.608304950521,1805.3399689782989,824.5545312675174,145.25226695805554,9.693752753098437,3589.6551939315978,25.010813587829865,0.2552075739067708,227.52421724572915,100.39484738249132
13,1299.2512877567708,329107.6364563021,331523.4010124305,1727.4906596123265,75.11442338233333,153.181780464809,0.0,0.0,4235.750896290452,1741.4640250546877,960.1252857112848,143.31664646980903,9.19266608779948,3588.988171563368,24.75793361530729,0.369215614953125,227.29571901194444,97.53905483888197
14,1300.905346221875,327553.7587869097,330233.85188062495,1709.0521856800349,76.49722140361285,155.48726139086804,0.0,0.0,4235.931296467361,1723.1176256388887,994.8449535245486,143.46361145743057,9.14829334476198,3589.001300974479,24.636691081803814,0.4005496266151042,227.0619144565104,98.18952600566146
15,1300.7348004734374,328592.93011944444,333001.22807442705,1711.4473422876738,79.54016029571355,155.1676995730729,0.0,0.0,4234.907860488542,1725.709517085764,990.3141961860068,144.60369608144097,9.114562406305035,3588.662026206077,24.632781147677083,0.394710395597743,227.16795266753476,100.83218593756943
16,1300.2090933154514,314348.957995382,318542.07617522567,1748.7124595487846,65.6580939220382,150.75753815217016,0.0,0.0,4231.43336318316,1761.1602253876736,921.9824545644792,141.7425970130903,9.39238022988802,3589.306733194792,24.786492514001736,0.3310166967232639,228.03382885192707,92.1950404021632
17,1300.1798550559029,312043.71455961803,317056.6932914236,1748.5282964069445,61.07372373410764,150.55959178901043,0.0,0.0,4239.892519471007,1761.216922972396,922.8002674821528,141.08065302385418,9.392023141525174,3589.8886490829864,24.75478882390625,0.3306769280923611,227.8048195896528,89.72394422030382
18,1300.6345207642362,308276.9348117882,311655.5955436111,1732.3433804402778,72.20392166837499,152.34935757069445,0.0,0.0,4243.54793711302,1745.2328051138888,953.3576626238367,142.71097206024305,9.220868817805728,3589.011616756944,24.714897393170137,0.3608918492385417,226.8814780367882,95.69585963886978
19,1300.2091903274304,314133.9697894618,317483.1870474653,1746.009366482465,60.94058818025868,150.54951252190972,0.0,0.0,4246.678360509549,1759.0108003418404,926.2139464929688,140.59669424954862,9.41612469835,3589.3179389088536,24.753219664817703,0.3360519342989583,227.62488308734376,89.56575668148957
20,1299.9500197182292,311232.4329619271,314966.8829947222,1748.6385437289932,61.41557195389236,150.73323046907987,0.0,0.0,4247.900240593924,1761.3088714215278,923.99788282217,141.21169424833334,9.144058359242882,3589.128850675,24.78061594594618,0.332023155615625,227.83973529631945,90.0744853848941
21,1299.865958152778,315828.9478928472,320561.8928747743,1733.1023938189237,61.614979911491325,152.79764073394097,0.0,0.0,4239.113591528125,1746.5184148385415,951.7237282759202,141.33426275081598,9.059543355140624,3590.822556554861,24.632121414597226,0.361988995513368,227.4587151867361,90.62776138517188
22,1300.110910635764,323782.60802751733,326609.7028736458,1750.3783022156251,65.25452218582639,150.55054467034722,0.0,0.0,4234.851696877605,1764.2185323798612,916.7970538145312,141.97725289758682,9.195915255949306,3588.864226155556,24.78879468742188,0.3301651713012152,227.80247425248265,91.98597212370484
23,1300.4181633756943,325706.2958476215,325929.32607229165,1732.307189418403,71.12531016667013,152.70619875342013,0.0,0.0,4235.700157005729,1746.668420945486,949.5817890064584,143.05693180541667,9.15088215387552,3588.44307080625,24.709176905614584,0.3634173446427083,227.4197211512847,95.21778858371702
24,1300.659483701736,324576.40081734373,324225.85123425344,1700.5205239645834,57.18257162838716,12.397544248784722,0.0,0.0,4245.080022020313,171.05689040295312,135.55282377426215,67.88731435078299,1.845784264434028,0.0,25.879135206994796,-0.0288668462968749,193.60615092637155,59.913045300355904
25,1300.74436298125,323634.1063940104,323243.96797638887,1721.5107410697915,53.50796349708334,0.0,0.0,0.0,4245.6394069385415,29.043133837,124.67335314409722,51.69715789293403,1.1015369698381945,0.0,26.30985815062153,-0.0621556184737847,140.7214115140972,51.95553913514063
26,1300.1854468927083,322560.47553468746,322652.3984627257,1720.1493072921876,55.10656825897396,0.0,0.0,0.0,4249.457287021528,21.782275466959376,156.5127618942014,49.25800989073959,1.0936002066194443,0.0,20.200700024341494,-0.0619777690798611,113.76131893805557,49.22260348927777
27,1301.054484246181,324482.265210625,325441.75427317707,1732.534421860243,44.8119900769566,0.0,0.0,0.0,4244.698784816494,15.662032284182292,161.88479281125,47.03066859508159,1.1550346959663194,0.0,13.29021481373611,-0.0618617177333333,95.76152138707988,47.47647892304861
28,1300.315947303125,313338.93982515624,314946.6799239583,1758.3848723991318,44.28186614846354,0.0,0.0,0.0,4242.432654328299,19.38325770845139,161.29940528126738,45.64169465313716,1.1374682922543402,0.0,16.54168542340104,-0.0619350891961805,83.27045098543576,46.53722709020138
29,1300.318409752257,310684.4206143403,313832.8101381076,1756.6254405159723,93.34429136127255,0.0,0.0,0.0,4240.0023060388885,11.233410811514062,171.92872897709375,55.60879123409375,1.1037887326699654,0.0,8.601621037963021,-0.0519941667553819,145.81370496576042,51.52192134460243
30,1300.1398522121528,309174.9474590104,310884.2159596007,1760.488567717361,99.96698417674826,0.0,0.0,0.0,4247.45167034132,7.309328618974479,180.00750783281248,52.25930782691146,1.148204902623264,0.0,5.36607189567691,-0.0406143422864583,116.55994403347742,50.34396165541493
31,1300.1555475994792,305818.66629605903,308273.3618900347,1765.988506322222,93.36630502019445,28.00075244371528,0.0,0.0,4245.95783976875,339.2722692111823,307.55899907057466,68.17391983741493,2.632351775252257,0.0,9.074010042706597,0.0182902308550347,124.05878077739756,59.44736053015277
32,1299.9352312902777,305070.1447844271,307265.5373347917,1766.8965142208333,70.95606277050868,148.4201329363368,0.0,0.0,4236.961104684375,1778.806318072396,887.9827971775521,143.4081966613889,9.018638972251388,3589.990234000001,24.873435371715104,0.2744887608659722,226.7087912190104,95.72217570413196
